"author_id,""created_at"",""id"",""lang"",""retweet_count"",""text"""
"1387015879154614277,""2022-08-08T01:07:48Z"",""1556447048815284226"",""pt"",""0"",""@EduardoLeite_ Leite que de bobo nada tem foca agora conquistar o eleitorado feminino como potencial antagosita ao bolsonarismo que ele pr¢prio apoiou em 2018\n\nEduardo mulheres tambÇm teriam protagonismo cidad∆o nos plebiscitos que eliminaste"""
"232917321,""2022-08-08T01:07:47Z"",""1556447046080528384"",""pt"",""0"",""@EdegarPretto t† muito bem debate Trouxe o legado dos governo PT atacou com firmeza e n∆o caiu em contradiá‰es"""
"132603021,""2022-08-08T01:07:47Z"",""1556447045405347840"",""pt"",""244"",""RT @bandrs Band mantÇm tradiá∆o e realiza o primeiro debate entre os candidatos ao governo RS\n HOJE Ös 21h\n\nTransmiss∆o simult?"""
"392286657,""2022-08-08T01:07:47Z"",""1556447044943990787"",""pt"",""0"",""@EduardoLeite_ Fora quebrar empresasusou o dinheiro governo federal que venho pra sa£de para se promover dizendo que colocou contas em dia enquanto muitos ga£chos morriam nas filas dos hospitais"""
"201083977,""2022-08-08T01:07:44Z"",""1556447031962607616"",""pt"",""3"",""RT @PompeodeMattos Heinze s¢ falta colocar mais um ¢culos na cabeáa t† perdido Leite na defensiva acanhado e com vergonha estelionat?"""
"1372642583063752708,""2022-08-08T01:07:43Z"",""1556447029668335617"",""pt"",""142"",""Vrau Onyx Pra fechar com chave de ouro o @EdegarPretto lavou alma povo ga£cho ê 13 Viva Lula Viva o PT Vai ser primeiro turno #DebateNaBandRS #LulaOlivioPrettoRuas #LulaOlivioEdegarRuas """
"1478206531162226695,""2022-08-08T01:07:43Z"",""1556447028514902016"",""pt"",""0"",""@EdegarPretto @LulaOficial @PedroRuasPsol @olivio_dutra Bem acompanhado nosso Governador"""
"1146532179268263938,""2022-08-08T01:07:42Z"",""1556447022676430848"",""pt"",""45"",""RT @Adriano202029 Candidatos ao Governo dos Estados que turma boa deve apoiar \n\n@_RodrigoNeves_ PDT-RJ\n@elviscezar_ofc PDT-SP\n@marcu?"""
"29994116,""2022-08-08T01:07:41Z"",""1556447021556547585"",""pt"",""121"",""Oi O PDT n∆o coloca educaá∆o como prioridade @EduardoLeite_  Em que mundo tu vives Te desafio sair ruas e perguntar ao povo ga£cho qual Ç o partido da educaá∆o Te garanto que ouvir†s verdade ê o PDT"""
"342047515,""2022-08-08T01:07:39Z"",""1556447012266164224"",""pt"",""0"",""Onyx mentiroso frita ele @VieiraPDT  #DebateNaBandRS"""
"2235596608,""2022-08-08T01:07:39Z"",""1556447011523756032"",""pt"",""0"",""- ?O trabalhador com dinheiro bolso vai comprar mais consumir mais e aumentar demanda para roda da economia girar? @EdegarPretto ao lembrar ciclo de crescimento com distribuiá∆o de renda Ö Çpoca de @LulaOficial e @DilmaBR #DebatenaBandRS #LulaOlivioPrettoRuas"""
"1107462939961946113,""2022-08-08T01:07:38Z"",""1556447006129807361"",""pt"",""104"",""RT @fernandapsol Onix caixa dois confesso n∆o pode falar de corrupá∆o""""  #DebateNaBandRS"""
"1518696774327808006,""2022-08-08T01:07:38Z"",""1556447005823598594"",""eu"",""3"",""RT @EvertonPeres8 Ora Ora????\n#DebateNaBandRJ #DebateNaBandmg\n#62minutos #3em1  #DebateNaBandsp #debateband #recordnews #CNNBrasil  #BOLSONA?"""
"2300150357,""2022-08-08T01:07:38Z"",""1556447005655928832"",""pt"",""0"",""Sinceramente tem que ter muito estìmago para aturar ‡nix cx2 Heinze Cloroquina Dudu Leite e outros bostas aqui RS somente @EdegarPretto  para dar um alento"""
"43961870,""2022-08-08T01:07:37Z"",""1556447003013533696"",""pt"",""79"",""RT @EdegarPretto N∆o consigo compreender como um governo permitiu que os servidores da educaá∆o ficassem sete anos sem reposiá∆o salarial?"""
"201083977,""2022-08-08T01:07:37Z"",""1556447001092448256"",""pt"",""4"",""RT @PompeodeMattos O @VieiraPDT bateu com duas m∆os \nLeite se gaba de fazer o m°nimo \nO Edegar Pretto diz que vai dar cafÇ da manh∆ p?"""
"816323681756598274,""2022-08-08T01:07:35Z"",""1556446994645880835"",""pt"",""54"",""RT @DedeLulista O Rio Grande Sul est† com os piores °ndices na Educaá∆o o @EdegarPretto foi l† e macetou N¢s j† governamos o estado?"""
"995632249,""2022-08-08T01:07:33Z"",""1556446987700019200"",""pt"",""0"",""O fecho @EdegarPretto sobre o marca de chuveiro foi petacul† Caixa 2 confesso n∆o pode falar em corrupá∆o n∆o mesmo"""
"1382130852210020355,""2022-08-08T01:07:32Z"",""1556446983245758464"",""pt"",""1"",""RT @ruirapina3 Eis grande contribuiá∆o o grande trabalho da vida petista Edgar Pretto ?? #DebateNaBandRS """
"1058037270186475521,""2022-08-08T01:07:32Z"",""1556446981203058691"",""pt"",""0"",""Argenta diz que Ç preciso esforáo para manter empresas RS j† que elas est∆o indo embora Diz que precisa est°mulo para que elas fiquem e invistam na metade Sul  #DebateNaBandRS"""
"1361132877673603075,""2022-08-08T01:07:32Z"",""1556446980687253505"",""pt"",""1"",""O nosso candidato governo estado @VieiraPDT est† muito preparado para governar o nosso rio grande est† mostrando isso debate da @bandrs """
"201083977,""2022-08-08T01:07:31Z"",""1556446979198181376"",""pt"",""8"",""RT @PompeodeMattos O #DebateNaBandRS est† mais parecendo um fraterno encontro entre neoliberais e filhotes da ditadura ? como dizia o Dr?"""
"1671428928,""2022-08-08T01:07:30Z"",""1556446973665976321"",""pt"",""8"",""RT @comuna_bella Eduardo Leite falando que defende mulheres ga£chas engana quem N∆o esquecemos Ieda Greice e Emanuele que perderam s?"""
"1346996301007781890,""2022-08-08T01:07:30Z"",""1556446972093005826"",""pt"",""0"",""@EduardoLeite_ vc mente escolas n∆o 5em luz  n∆o tem banheiros n∆o tem †gua Ali†s n est∆o tendo aulas normais pq alÇm de faltar infraestrutura faltam professores Q nojo"""
"54040500,""2022-08-08T01:07:29Z"",""1556446968435687424"",""pt"",""3"",""RT @sigamariaeunice Com o @EdegarPretto os Professores e Funcion†rios de Escolas v∆o voltar ser tratados dignamente como tem exigido o?"""
"188079877,""2022-08-08T01:07:28Z"",""1556446965478686722"",""pt"",""0"",""@JulianaBrizola @VieiraPDT N∆o entendi\n\nEle disse que pagar sal†rios integrais era o M÷NIMO mas ele n∆o foi secret†rio governo Sartori quando os sal†rios eram parcelados"""
"38809147,""2022-08-08T01:07:28Z"",""1556446964987863041"",""pt"",""41"",""RT @JulianaBrizola O @vieirapdt questiona Leite sobre o ABANDONO da educaá∆o com °ndices altos de evas∆o escolar educaá∆o Ç o futuro d?"""
"43961870,""2022-08-08T01:07:27Z"",""1556446959061409792"",""pt"",""45"",""RT @EdegarPretto O meu candidato vice-governador Ç o @PedroRuasPsol fundador trabalhismo e defensor da escola integral de Leonel Bri?"""
